codigo;nome;codigogrupo;custo;markup;venda;fator;listapiscofins;aliquota;cfop;ncm;cstpiscofins;valorpmc;codigobarras;subgrupo;categoria;laboratorio;grupodepreco;similar;estoque;descontofixo;comissao;atualizaestoque;demanda;ativo;st;isento;semincidencia;permitedesconto;localizacao;usocontinuo;observacao;descontomax;cest;csosn;csticms;medfciapop;qtdfciapop;valorfciapop;listacontrole;dcb;registroms
83001;DIPIRONA SODICA 500MG 10CP;1;5,00;60,00;8,00;1;NEUTRA;17;5102;30049099;01;8,00;7898300000010;1;1;1;1;;20;0;2;S;5;A;N;N;N;S;A1;N;ALIQUOTA;10;1300100;102;;N;;;;;
83002;PARACETAMOL 750MG 20CP;1;6,20;63,00;10,11;1;NEUTRA;18;5102;30049099;01;10,11;7898300000027;1;2;2;1;;20;0;2;S;5;A;N;N;N;S;A2;N;ALIQUOTA;10;1300100;102;;N;;;;;
83003;IBUPROFENO 600MG 10CP;1;7,40;66,00;12,28;1;NEUTRA;12;5102;30049099;01;12,28;7898300000034;1;1;1;1;;20;0;2;S;5;A;N;N;N;S;A3;N;ALIQUOTA;10;1300100;102;;N;;;;;
83004;OMEPRAZOL 20MG 28CP;1;8,60;69,00;14,53;1;NEUTRA;25;5102;30049099;01;14,53;7898300000041;1;2;2;1;;20;0;2;S;5;A;N;N;N;S;A4;N;ALIQUOTA;10;1300100;102;;N;;;;;
83005;AMOXICILINA 500MG 21CP;1;9,80;72,00;16,86;1;NEUTRA;7;5102;30049099;01;16,86;7898300000058;1;1;1;1;;20;0;2;S;5;A;N;N;N;S;A5;N;ALIQUOTA;10;1300100;102;;N;;;;;
83006;VITAMINA C 500MG 30CP;1;11,00;75,00;19,25;1;NEUTRA;17;5102;30049099;01;19,25;7898300000065;1;2;2;1;;20;0;2;S;5;A;N;N;N;S;A1;N;ALIQUOTA;10;1300100;102;;N;;;;;
83007;LOSARTANA 50MG 30CP;1;12,20;78,00;21,72;1;NEUTRA;18;5102;30049099;01;21,72;7898300000072;1;1;1;1;;20;0;2;S;5;A;N;N;N;S;A2;N;ALIQUOTA;10;1300100;102;;N;;;;;
83008;PROTETOR SOLAR FPS50 120ML;2;13,40;81,00;24,25;1;NEUTRA;18;5102;33049990;01;24,25;7898300000089;1;2;2;1;;20;0;2;S;5;A;N;N;N;S;A3;N;ALIQUOTA;10;2001900;102;;N;;;;;
83009;SHAMPOO ANTICASPA 400ML;2;14,60;84,00;26,86;1;NEUTRA;12;5102;33049990;01;26,86;7898300000096;1;1;1;1;;20;0;2;S;5;A;N;N;N;S;A4;N;ALIQUOTA;10;2001900;102;;N;;;;;
83010;CLONAZEPAM 2MG 30CP;1;15,80;87,00;29,55;1;NEUTRA;17;5102;30049099;01;29,55;7898300000102;1;2;2;1;;20;0;2;S;5;A;N;N;N;S;A5;N;ALIQUOTA+CONTROLADO;10;1300100;102;;N;;;B1;4;1018105260035
